air_store_id,visit_date,air_genre_name,air_first_area_name,air_second_area_name,hpg_exist,hpg_reserve_visitors,hpg_diffday_visit_reserve,hpg_mindiff,hpg_maxdiff,hpg_total_reserve_visitores,hpg_reserve_count
air_00a91d42b08b08d9,2016-01-14,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,3,3,3,2,1
air_00a91d42b08b08d9,2016-01-15,Italian/French,Tōkyō-to,Chiyoda-ku,1,4,6,6,6,4,1
air_00a91d42b08b08d9,2016-01-16,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,3,3,3,2,1
air_00a91d42b08b08d9,2016-01-22,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,3,3,3,2,1
air_00a91d42b08b08d9,2016-01-29,Italian/French,Tōkyō-to,Chiyoda-ku,1,5,6,6,6,5,1
air_00a91d42b08b08d9,2016-02-05,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,16,16,16,2,1
air_00a91d42b08b08d9,2016-03-08,Italian/French,Tōkyō-to,Chiyoda-ku,1,3,2,2,2,3,1
air_00a91d42b08b08d9,2016-04-04,Italian/French,Tōkyō-to,Chiyoda-ku,1,1,4,4,4,1,1
air_00a91d42b08b08d9,2016-04-07,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,1,1,1,2,1
air_00a91d42b08b08d9,2016-04-08,Italian/French,Tōkyō-to,Chiyoda-ku,1,3,3,3,10,7,2
air_00a91d42b08b08d9,2016-04-08,Italian/French,Tōkyō-to,Chiyoda-ku,1,4,10,3,10,7,2
air_00a91d42b08b08d9,2016-04-09,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,2,2,2,4,2
air_00a91d42b08b08d9,2016-04-09,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,2,2,2,4,2
air_00a91d42b08b08d9,2016-04-22,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,1,1,1,2,1
air_00a91d42b08b08d9,2016-04-28,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,1,1,1,2,1
air_00a91d42b08b08d9,2016-05-06,Italian/French,Tōkyō-to,Chiyoda-ku,1,2,0,0,0,2,1
air_00a91d42b08b08d9,2016-05-12,Italian/French,Tōkyō-to,Chiyoda-ku,1,5,2,2,2,5,1
air_00a91d42b08b08d9,2016-05-13,Italian/French,Tōkyō-to,Chiyoda-ku,1,3,1,1,1,3,1
air_00a91d42b08b08d9,2016-05-20,Italian/French,Tōkyō-to,Chiyoda-ku,1,1,6,6,6,1,1
air_00a91d42b08b08d9,2016-05-27,Italian/French,Tōkyō-to,Chiyoda-ku,1,15,13,13,13,15,1
air_00a91d42b08b08d9,2016-06-03,Italian/French,Tōkyō-to,Chiyoda-ku,1,4,1,1,1,4,1
air_00a91d42b08b08d9,2016-06-09,Italian/French,Tōkyō-to,Chiyoda-ku,1,5,2,2,2,5,1
air_00a91d42b08b08d9,2016-06-10,Italian/French,Tōkyō-to,Chiyoda-ku,1,4,0,0,0,4,1
